Régions;2010;2011;2012;2013;2014;2015;2016;2017
B. du Mouhoun;123;128;280;337;349;387;638;766
Cascades;38;38;41;46;43;43;53;56
Centre;744;763;783;787;892;932;961;981
Centre-Est;91;95;98;260;260;496;704;708
Centre-Nord;147;167;191;196;197;296;310;385
Centre-Ouest;266;285;317;378;388;566;662;704
Centre-Sud;97;101;101;190;282;282;309;310
Est;98;97;105;105;201;198;199;202
Hauts-Bassins;248;254;273;367;348;394;427;432
Nord;104;167;233;234;295;427;462;465
Plateau Central;39;44;74;76;84;109;122;122
Sahel;59;127;131;69;69;70;71;292
Sud-Ouest;28;31;39;175;43;43;49;54
Burkina Faso;2083;2297;2665;3220;3452;4243;4967;5477
